sample_index,operation_id,case_study,operation_signature,model_file,cmd_file,has_generated_contract,definition_count,has_precondition,entity_count,enum_count,use_status,use_returncode,use_duration_sec,use_run_mode,use_stdout_file,use_stderr_file
13,AutomatedTellerMachine_depositFunds_printReceipt,ATM,printReceipt(): Real,results\oclvm_sanity_check_114_strong\use_models\013_AutomatedTellerMachine_depositFunds_printReceipt.use,results\oclvm_sanity_check_114_strong\use_cmds\013_AutomatedTellerMachine_depositFunds_printReceipt.cmd,True,1,True,4,2,pass,0,1.2374,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_depositFunds_printReceipt.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_depositFunds_printReceipt.stderr.txt
14,AutomatedTellerMachine_depositFunds_ejectCard,ATM,ejectCard(): Boolean,results\oclvm_sanity_check_114_strong\use_models\014_AutomatedTellerMachine_depositFunds_ejectCard.use,results\oclvm_sanity_check_114_strong\use_cmds\014_AutomatedTellerMachine_depositFunds_ejectCard.cmd,True,1,True,4,2,pass,0,1.212,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_depositFunds_ejectCard.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_depositFunds_ejectCard.stderr.txt
15,AutomatedTellerMachine_manageBankCard_createBankCard,ATM,"createBankCard(cardid: Integer, cardstatus: CardStatus[NORMAL|SUSPEND|CANCEL], catalog: CardCatalog[CREDIT|DEPOSIT], password: Integer, balance: Real): Boolean",results\oclvm_sanity_check_114_strong\use_models\015_AutomatedTellerMachine_manageBankCard_createBankCard.use,results\oclvm_sanity_check_114_strong\use_cmds\015_AutomatedTellerMachine_manageBankCard_createBankCard.cmd,True,1,True,4,2,pass,0,1.2518,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageBankCard_createBankCard.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageBankCard_createBankCard.stderr.txt
16,AutomatedTellerMachine_manageBankCard_queryBankCard,ATM,queryBankCard(cardid: Integer): BankCard,results\oclvm_sanity_check_114_strong\use_models\016_AutomatedTellerMachine_manageBankCard_queryBankCard.use,results\oclvm_sanity_check_114_strong\use_cmds\016_AutomatedTellerMachine_manageBankCard_queryBankCard.cmd,True,1,True,4,2,pass,0,1.2251,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageBankCard_queryBankCard.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageBankCard_queryBankCard.stderr.txt
17,AutomatedTellerMachine_manageBankCard_modifyBankCard,ATM,"modifyBankCard(cardid: Integer, cardstatus: CardStatus[NORMAL|SUSPEND|CANCEL], catalog: CardCatalog[CREDIT|DEPOSIT], password: Integer, balance: Real): Boolean",results\oclvm_sanity_check_114_strong\use_models\017_AutomatedTellerMachine_manageBankCard_modifyBankCard.use,results\oclvm_sanity_check_114_strong\use_cmds\017_AutomatedTellerMachine_manageBankCard_modifyBankCard.cmd,True,1,True,4,2,pass,0,1.2064,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageBankCard_modifyBankCard.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageBankCard_modifyBankCard.stderr.txt
18,AutomatedTellerMachine_manageBankCard_deleteBankCard,ATM,deleteBankCard(cardid: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\018_AutomatedTellerMachine_manageBankCard_deleteBankCard.use,results\oclvm_sanity_check_114_strong\use_cmds\018_AutomatedTellerMachine_manageBankCard_deleteBankCard.cmd,True,1,True,4,2,pass,0,1.1805,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageBankCard_deleteBankCard.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageBankCard_deleteBankCard.stderr.txt
19,AutomatedTellerMachine_manageUser_createUser,ATM,"createUser(userid: Integer, name: String, address: String): Boolean",results\oclvm_sanity_check_114_strong\use_models\019_AutomatedTellerMachine_manageUser_createUser.use,results\oclvm_sanity_check_114_strong\use_cmds\019_AutomatedTellerMachine_manageUser_createUser.cmd,True,1,True,4,2,pass,0,1.181,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageUser_createUser.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageUser_createUser.stderr.txt
20,AutomatedTellerMachine_manageUser_queryUser,ATM,queryUser(userid: Integer): User,results\oclvm_sanity_check_114_strong\use_models\020_AutomatedTellerMachine_manageUser_queryUser.use,results\oclvm_sanity_check_114_strong\use_cmds\020_AutomatedTellerMachine_manageUser_queryUser.cmd,True,1,True,4,2,pass,0,1.2509,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageUser_queryUser.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageUser_queryUser.stderr.txt
21,AutomatedTellerMachine_manageUser_modifyUser,ATM,"modifyUser(userid: Integer, name: String, address: String): Boolean",results\oclvm_sanity_check_114_strong\use_models\021_AutomatedTellerMachine_manageUser_modifyUser.use,results\oclvm_sanity_check_114_strong\use_cmds\021_AutomatedTellerMachine_manageUser_modifyUser.cmd,True,1,True,4,2,pass,0,1.2166,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageUser_modifyUser.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageUser_modifyUser.stderr.txt
22,AutomatedTellerMachine_manageUser_deleteUser,ATM,deleteUser(userid: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\022_AutomatedTellerMachine_manageUser_deleteUser.use,results\oclvm_sanity_check_114_strong\use_cmds\022_AutomatedTellerMachine_manageUser_deleteUser.cmd,True,2,True,4,2,pass,0,1.227,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageUser_deleteUser.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_manageUser_deleteUser.stderr.txt
23,AutomatedTellerMachine_withdrawCash_inputCard,ATM,inputCard(cardid: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\023_AutomatedTellerMachine_withdrawCash_inputCard.use,results\oclvm_sanity_check_114_strong\use_cmds\023_AutomatedTellerMachine_withdrawCash_inputCard.cmd,True,1,True,4,2,pass,0,1.2085,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_withdrawCash_inputCard.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_withdrawCash_inputCard.stderr.txt
24,AutomatedTellerMachine_withdrawCash_inputPassword,ATM,inputPassword(password: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\024_AutomatedTellerMachine_withdrawCash_inputPassword.use,results\oclvm_sanity_check_114_strong\use_cmds\024_AutomatedTellerMachine_withdrawCash_inputPassword.cmd,True,2,True,4,2,pass,0,1.2448,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_withdrawCash_inputPassword.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_withdrawCash_inputPassword.stderr.txt
25,AutomatedTellerMachine_withdrawCash_withdrawCash,ATM,withdrawCash(quantity: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\025_AutomatedTellerMachine_withdrawCash_withdrawCash.use,results\oclvm_sanity_check_114_strong\use_cmds\025_AutomatedTellerMachine_withdrawCash_withdrawCash.cmd,True,1,True,4,2,pass,0,1.2083,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_withdrawCash_withdrawCash.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_withdrawCash_withdrawCash.stderr.txt
26,AutomatedTellerMachine_withdrawCash_printReceipt,ATM,printReceipt(): Real,results\oclvm_sanity_check_114_strong\use_models\026_AutomatedTellerMachine_withdrawCash_printReceipt.use,results\oclvm_sanity_check_114_strong\use_cmds\026_AutomatedTellerMachine_withdrawCash_printReceipt.cmd,True,1,True,4,2,pass,0,1.2536,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_withdrawCash_printReceipt.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_withdrawCash_printReceipt.stderr.txt
27,AutomatedTellerMachine_withdrawCash_ejectCard,ATM,ejectCard(): Boolean,results\oclvm_sanity_check_114_strong\use_models\027_AutomatedTellerMachine_withdrawCash_ejectCard.use,results\oclvm_sanity_check_114_strong\use_cmds\027_AutomatedTellerMachine_withdrawCash_ejectCard.cmd,True,1,True,4,2,pass,0,1.2307,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_withdrawCash_ejectCard.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_withdrawCash_ejectCard.stderr.txt
28,CoCoME_changePrice_changePrice,CoCoME,"changePrice(barcode: Integer, newPrice: Real): Boolean",results\oclvm_sanity_check_114_strong\use_models\028_CoCoME_changePrice_changePrice.use,results\oclvm_sanity_check_114_strong\use_cmds\028_CoCoME_changePrice_changePrice.cmd,True,1,True,15,1,pass,0,1.2727,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_changePrice_changePrice.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_changePrice_changePrice.stderr.txt
29,CoCoME_closeCashDesk_closeCashDesk,CoCoME,closeCashDesk(cashDeskID: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\029_CoCoME_closeCashDesk_closeCashDesk.use,results\oclvm_sanity_check_114_strong\use_cmds\029_CoCoME_closeCashDesk_closeCashDesk.cmd,True,2,True,15,1,pass,0,1.231,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_closeCashDesk_closeCashDesk.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_closeCashDesk_closeCashDesk.stderr.txt
30,CoCoME_closeStore_closeStore,CoCoME,closeStore(storeID: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\030_CoCoME_closeStore_closeStore.use,results\oclvm_sanity_check_114_strong\use_cmds\030_CoCoME_closeStore_closeStore.cmd,True,2,True,15,1,pass,0,1.2681,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_closeStore_closeStore.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_closeStore_closeStore.stderr.txt
31,CoCoME_listSuppliers_listSuppliers,CoCoME,listSuppliers(): Set(Supplier),results\oclvm_sanity_check_114_strong\use_models\031_CoCoME_listSuppliers_listSuppliers.use,results\oclvm_sanity_check_114_strong\use_cmds\031_CoCoME_listSuppliers_listSuppliers.cmd,True,1,True,15,1,pass,0,1.1937,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_listSuppliers_listSuppliers.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_listSuppliers_listSuppliers.stderr.txt
32,CoCoME_manageCashDesk_createCashDesk,CoCoME,"createCashDesk(id: Integer, name: String, isopened: Boolean): Boolean",results\oclvm_sanity_check_114_strong\use_models\032_CoCoME_manageCashDesk_createCashDesk.use,results\oclvm_sanity_check_114_strong\use_cmds\032_CoCoME_manageCashDesk_createCashDesk.cmd,True,1,True,15,1,pass,0,1.2853,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashDesk_createCashDesk.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashDesk_createCashDesk.stderr.txt
33,CoCoME_manageCashDesk_queryCashDesk,CoCoME,queryCashDesk(id: Integer): CashDesk,results\oclvm_sanity_check_114_strong\use_models\033_CoCoME_manageCashDesk_queryCashDesk.use,results\oclvm_sanity_check_114_strong\use_cmds\033_CoCoME_manageCashDesk_queryCashDesk.cmd,True,1,True,15,1,pass,0,1.2276,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashDesk_queryCashDesk.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashDesk_queryCashDesk.stderr.txt
34,CoCoME_manageCashDesk_modifyCashDesk,CoCoME,"modifyCashDesk(id: Integer, name: String, isopened: Boolean): Boolean",results\oclvm_sanity_check_114_strong\use_models\034_CoCoME_manageCashDesk_modifyCashDesk.use,results\oclvm_sanity_check_114_strong\use_cmds\034_CoCoME_manageCashDesk_modifyCashDesk.cmd,True,1,True,15,1,pass,0,1.2527,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashDesk_modifyCashDesk.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashDesk_modifyCashDesk.stderr.txt
35,CoCoME_manageCashDesk_deleteCashDesk,CoCoME,deleteCashDesk(id: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\035_CoCoME_manageCashDesk_deleteCashDesk.use,results\oclvm_sanity_check_114_strong\use_cmds\035_CoCoME_manageCashDesk_deleteCashDesk.cmd,True,2,True,15,1,pass,0,1.2482,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashDesk_deleteCashDesk.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashDesk_deleteCashDesk.stderr.txt
36,CoCoME_manageCashier_createCashier,CoCoME,"createCashier(id: Integer, name: String): Boolean",results\oclvm_sanity_check_114_strong\use_models\036_CoCoME_manageCashier_createCashier.use,results\oclvm_sanity_check_114_strong\use_cmds\036_CoCoME_manageCashier_createCashier.cmd,True,2,True,15,1,pass,0,1.232,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashier_createCashier.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashier_createCashier.stderr.txt
37,CoCoME_manageCashier_queryCashier,CoCoME,queryCashier(id: Integer): Cashier,results\oclvm_sanity_check_114_strong\use_models\037_CoCoME_manageCashier_queryCashier.use,results\oclvm_sanity_check_114_strong\use_cmds\037_CoCoME_manageCashier_queryCashier.cmd,True,1,True,15,1,pass,0,1.2448,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashier_queryCashier.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashier_queryCashier.stderr.txt
38,CoCoME_manageCashier_modifyCashier,CoCoME,"modifyCashier(id: Integer, name: String): Boolean",results\oclvm_sanity_check_114_strong\use_models\038_CoCoME_manageCashier_modifyCashier.use,results\oclvm_sanity_check_114_strong\use_cmds\038_CoCoME_manageCashier_modifyCashier.cmd,True,1,True,15,1,pass,0,1.2735,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashier_modifyCashier.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashier_modifyCashier.stderr.txt
39,CoCoME_manageCashier_deleteCashier,CoCoME,deleteCashier(id: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\039_CoCoME_manageCashier_deleteCashier.use,results\oclvm_sanity_check_114_strong\use_cmds\039_CoCoME_manageCashier_deleteCashier.cmd,True,2,True,15,1,pass,0,1.2453,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashier_deleteCashier.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageCashier_deleteCashier.stderr.txt
40,CoCoME_manageProductCatalog_createProductCatalog,CoCoME,"createProductCatalog(id: Integer, name: String): Boolean",results\oclvm_sanity_check_114_strong\use_models\040_CoCoME_manageProductCatalog_createProductCatalog.use,results\oclvm_sanity_check_114_strong\use_cmds\040_CoCoME_manageProductCatalog_createProductCatalog.cmd,True,1,True,15,1,pass,0,1.2673,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageProductCatalog_createProductCatalog.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageProductCatalog_createProductCatalog.stderr.txt
41,CoCoME_manageProductCatalog_queryProductCatalog,CoCoME,queryProductCatalog(id: Integer): ProductCatalog,results\oclvm_sanity_check_114_strong\use_models\041_CoCoME_manageProductCatalog_queryProductCatalog.use,results\oclvm_sanity_check_114_strong\use_cmds\041_CoCoME_manageProductCatalog_queryProductCatalog.cmd,True,1,True,15,1,pass,0,1.244,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageProductCatalog_queryProductCatalog.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageProductCatalog_queryProductCatalog.stderr.txt
42,CoCoME_manageProductCatalog_modifyProductCatalog,CoCoME,"modifyProductCatalog(id: Integer, name: String): Boolean",results\oclvm_sanity_check_114_strong\use_models\042_CoCoME_manageProductCatalog_modifyProductCatalog.use,results\oclvm_sanity_check_114_strong\use_cmds\042_CoCoME_manageProductCatalog_modifyProductCatalog.cmd,True,1,True,15,1,pass,0,1.2568,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageProductCatalog_modifyProductCatalog.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageProductCatalog_modifyProductCatalog.stderr.txt
43,CoCoME_manageProductCatalog_deleteProductCatalog,CoCoME,deleteProductCatalog(id: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\043_CoCoME_manageProductCatalog_deleteProductCatalog.use,results\oclvm_sanity_check_114_strong\use_cmds\043_CoCoME_manageProductCatalog_deleteProductCatalog.cmd,True,1,True,15,1,pass,0,1.2435,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageProductCatalog_deleteProductCatalog.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageProductCatalog_deleteProductCatalog.stderr.txt
44,CoCoME_manageStore_createStore,CoCoME,"createStore(id: Integer, name: String, address: String, isopened: Boolean): Boolean",results\oclvm_sanity_check_114_strong\use_models\044_CoCoME_manageStore_createStore.use,results\oclvm_sanity_check_114_strong\use_cmds\044_CoCoME_manageStore_createStore.cmd,True,1,True,15,1,pass,0,1.2676,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageStore_createStore.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageStore_createStore.stderr.txt
45,CoCoME_manageStore_queryStore,CoCoME,queryStore(id: Integer): Store,results\oclvm_sanity_check_114_strong\use_models\045_CoCoME_manageStore_queryStore.use,results\oclvm_sanity_check_114_strong\use_cmds\045_CoCoME_manageStore_queryStore.cmd,True,1,True,15,1,pass,0,1.2711,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageStore_queryStore.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageStore_queryStore.stderr.txt
46,CoCoME_manageStore_modifyStore,CoCoME,"modifyStore(id: Integer, name: String, address: String, isopened: Boolean): Boolean",results\oclvm_sanity_check_114_strong\use_models\046_CoCoME_manageStore_modifyStore.use,results\oclvm_sanity_check_114_strong\use_cmds\046_CoCoME_manageStore_modifyStore.cmd,True,1,True,15,1,pass,0,1.2758,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageStore_modifyStore.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageStore_modifyStore.stderr.txt
47,CoCoME_manageStore_deleteStore,CoCoME,deleteStore(id: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\047_CoCoME_manageStore_deleteStore.use,results\oclvm_sanity_check_114_strong\use_cmds\047_CoCoME_manageStore_deleteStore.cmd,True,1,True,15,1,pass,0,1.2395,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageStore_deleteStore.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageStore_deleteStore.stderr.txt
48,CoCoME_manageSupplier_createSupplier,CoCoME,"createSupplier(id: Integer, name: String): Boolean",results\oclvm_sanity_check_114_strong\use_models\048_CoCoME_manageSupplier_createSupplier.use,results\oclvm_sanity_check_114_strong\use_cmds\048_CoCoME_manageSupplier_createSupplier.cmd,True,1,True,15,1,pass,0,1.2585,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageSupplier_createSupplier.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\CoCoME_manageSupplier_createSupplier.stderr.txt
